UUID-Nummer,BAUMATERIALIEN,Masse,Bezug,UBP,Primärenergie,Primärenergie erneuerbar (kWh oil-eq),Primärenergie nicht erneuerbar (kWh oil-eq),Treibhausgasemissionen (kg CO2-eq),"Biogener Kohlenstoff
Carbone biogène (kg C)","MATÉRIAUX DE CONSTRUCTON
"
1C0034A0-2E93-4622-AB2F-B6C7BDC0A9A4,"Baugrubensicherung, Bohrpfahlwand, gespriesst",-,m2,1’300’000,2250,129,2120,861,0,"Blindage de fouille, paroi parisienne, étayé"
EE35298F-D4F1-4FBF-8F21-914AC601204F,"Baugrubensicherung, Bohrpfahlwand, unverankert",-,m2,1’230’000,2050,114,1940,821,0,"Blindage de fouille, paroi parisienne, flottant"
E6266550-4DA7-4AC1-9967-35D378CCA917,"Baugrubensicherung, Bohrpfahlwand, verankert",-,m2,846’000,1490,103,1390,535,0,"Blindage de fouille, paroi parisienne, fixe"
B49F5C35-D26E-4EBD-9736-51937285D583,"Baugrubensicherung, Nagelwand",-,m2,188’000,319,23,297,121,0,"Blindage de fouille, paroi clouée"
F0E2CA61-381A-42B0-9331-F3A3B092171A,"Baugrubensicherung, Rühlwand, auskragend",-,m2,436’000,982,107,874,270,0,"Blindage de fouille, paroi berlinoise, en porte-à-faux"
FB6C7A79-69B2-4F61-A8D9-FAD72DBB5ACD,"Baugrubensicherung, Rühlwand, gespriesst",-,m2,305’000,683,47,637,187,0,"Blindage de fouille, paroi berlinoise, étayé"
4E562FDF-A73E-4E7E-8C56-B7B5068A19EC,"Baugrubensicherung, Rühlwand, verankert",-,m2,319’000,686,45,641,197,0,"Blindage de fouille, paroi berlinoise, fixe"
F4CB3C0F-DD23-4821-9DAC-7CBFB57B2AD1,"Baugrubensicherung, Schlitzwand, 400 mm",-,m2,777’000,1250,89,1160,423,0,"Blindage de fouille, paroi moulée, 400 mm"
8F0DDE0F-57FE-4A5E-9A52-70803B0774C6,"Baugrubensicherung, Schlitzwand, 800 mm",-,m2,1’380’000,2250,168,2080,809,0,"Blindage de fouille, paroi moulée, 800 mm"
650E9E9A-4709-4780-BA84-460617AE70A0,"Baugrubensicherung, Spundwand, auskragend",-,m2,287’000,776,44,732,169,0,"Blindage de fouille, paroi de palplanche, en porte-à-faux"
53A125FB-F71E-4A1A-9191-DE111E0DF8C0,"Baugrubensicherung, Spundwand, gespriesst",-,m2,162’000,437,24,412,96,0,"Blindage de fouille, paroi de palplanche, étayé"
9AA11301-7957-4139-BC09-9F57072238EC,"Baugrubensicherung, Spundwand, verankert",-,m2,321’000,846,53,793,187,0,"Blindage de fouille, paroi de palplanche, fixe"
B4015EF4-695C-47BF-9CD8-A8AF5CE3C0CB,"Tiefgründung, Mikrobohrpfahl",-,m,52’500,118,8,110,31,0,"Fondations profondes, micropieu "
D6B4CD48-CFD0-45DD-8F39-F2877B8DE652,"Tiefgründung, Ortbetonbohrpfahl, 700 mm",-,m,258’000,395,28,367,163,0,"Fondations profondes, pieu coulé sur site, 700 mm"
EE463E2C-FAD4-4183-BBDF-A8E1FA456B32,"Tiefgründung, Ortbetonbohrpfahl, 900 mm",-,m,377’000,549,44,505,244,0,"Fondations profondes, pieu coulé sur site, 900 mm"
DEED59B5-BB81-4104-9BAE-D78266DC439E,"Tiefgründung, Ortbetonbohrpfahl, 1200 mm",-,m,579’000,820,69,751,379,0,"Fondations profondes, pieu coulé sur site, 1200 mm"
