ID-Nummer,UUID-Nummer,Gruppe,BAUMATERIALIEN,"ID-Nummer
Entsorgung",Entsorgung,Dichte/Masse,Bezug,UBP Total,UBP Herstellung,UBP Entsorgung,"PE gesamt, Total","PE gesamt, Herstellung total","PE gesamt, Herstellung energetisch genutzt","PE gesamt, Herstellung stofflich genutzt","PE gesamt, Entsorgung","PE erneuerbar, Total","PE erneuerbar, Herstellung total","PE erneuerbar, Herstellung energetisch genutzt","PE erneuerbar, Herstellung stofflich genutzt","PE erneuerbar, Entsorgung","PE nicht erneuerbar, Total","PE nicht erneuerbar, Herstellung total","PE nicht erneuerbar, Herstellung energetisch genutzt","PE nicht erneuerbar, Herstellung stofflich genutzt","PE nicht erneuerbar, Entsorgung",GWP Total,GWP Entsorgung,GWP Herstellung,Biogener Kohlenstoff,French Name,
00.001,1C0034A0-2E93-4622-AB2F-B6C7BDC0A9A4,Vorbereitungsarbeiten,"Baugrubensicherung, Bohrpfahlwand, gespriesst",91.074,"Entsorgung, Baugrubensicherung, Bohrpfahlwand, gespriesst",-,m2,1300000,1140000,167000,2250,1990,1990,0,257,129,120,120,0,9,2120,1870,1870,0,248,861,801,61,0,"Blindage de fouille, paroi parisienne, étayé","Élimination, blindage de fouille, paroi parisienne, étayé"
00.002,EE35298F-D4F1-4FBF-8F21-914AC601204F,Vorbereitungsarbeiten,"Baugrubensicherung, Bohrpfahlwand, unverankert",91.075,"Entsorgung, Baugrubensicherung, Bohrpfahlwand, unverankert",-,m2,1230000,1070000,167000,2050,1800,1800,0,257,114,105,105,0,9,1940,1690,1690,0,248,821,761,61,0,"Blindage de fouille, paroi parisienne, flottant","Élimination, blindage de fouille, paroi parisienne, flottant"
00.003,E6266550-4DA7-4AC1-9967-35D378CCA917,Vorbereitungsarbeiten,"Baugrubensicherung, Bohrpfahlwand, verankert",91.076,"Entsorgung, Baugrubensicherung, Bohrpfahlwand, verankert",-,m2,846000,735000,111000,1490,1320,1320,0,170,103,97,97,0,6,1390,1230,1230,0,164,535,495,40,0,"Blindage de fouille, paroi parisienne, fixe","Élimination, blindage de fouille, paroi parisienne, fixe"
00.004,B49F5C35-D26E-4EBD-9736-51937285D583,Vorbereitungsarbeiten,"Baugrubensicherung, Nagelwand",91.077,"Entsorgung, Baugrubensicherung, Nagelwand",-,m2,188000,164000,24300,319,282,282,0,37,23,21,21,0,1,297,261,261,0,36,121,112,9,0,"Blindage de fouille, paroi clouée","Élimination, blindage de fouille, paroi clouée"
00.005,F0E2CA61-381A-42B0-9331-F3A3B092171A,Vorbereitungsarbeiten,"Baugrubensicherung, Ruehlwand, auskragend",91.078,"Entsorgung, Baugrubensicherung, Ruehlwand, auskragend",-,m2,436000,397000,39000,982,922,922,0,60,107,105,105,0,2,874,817,817,0,58,270,256,14,0,"Blindage de fouille, paroi berlinoise, en porte-à-faux","Élimination, blindage de fouille, paroi berlinoise, en porte-à-faux"
00.006,FB6C7A79-69B2-4F61-A8D9-FAD72DBB5ACD,Vorbereitungsarbeiten,"Baugrubensicherung, Ruehlwand, gespriesst",91.079,"Entsorgung, Baugrubensicherung, Ruehlwand, gespriesst",-,m2,305000,282000,22800,683,648,648,0,35,47,45,45,0,1,637,603,603,0,34,187,178,8,0,"Blindage de fouille, paroi berlinoise, étayé","Élimination, blindage de fouille, paroi berlinoise, étayé"
00.007,4E562FDF-A73E-4E7E-8C56-B7B5068A19EC,Vorbereitungsarbeiten,"Baugrubensicherung, Ruehlwand, verankert",91.08,"Entsorgung, Baugrubensicherung, Ruehlwand, verankert",-,m2,319000,292000,26400,686,646,646,0,40,45,44,44,0,1,641,602,602,0,39,197,187,10,0,"Blindage de fouille, paroi berlinoise, fixe","Élimination, blindage de fouille, paroi berlinoise, fixe"
00.008,F4CB3C0F-DD23-4821-9DAC-7CBFB57B2AD1,Vorbereitungsarbeiten,"Baugrubensicherung, Schlitzwand, 400 mm",91.081,"Entsorgung, Baugrubensicherung, Schlitzwand, 400mm",-,m2,777000,693000,84200,1250,1120,1120,0,129,89,84,84,0,5,1160,1040,1040,0,124,423,393,30,0,"Blindage de fouille, paroi moulée, 400 mm","Élimination, blindage de fouille, paroi moulée, 400 mm"
00.009,8F0DDE0F-57FE-4A5E-9A52-70803B0774C6,Vorbereitungsarbeiten,"Baugrubensicherung, Schlitzwand, 800 mm",91.082,"Entsorgung, Baugrubensicherung, Schlitzwand, 800mm",-,m2,1380000,1210000,166000,2250,2000,2000,0,254,168,159,159,0,9,2080,1840,1840,0,245,809,749,60,0,"Blindage de fouille, paroi moulée, 800 mm","Élimination, blindage de fouille, paroi moulée, 800 mm"
00.010,650E9E9A-4709-4780-BA84-460617AE70A0,Vorbereitungsarbeiten,"Baugrubensicherung, Spundwand, auskragend",91.083,"Entsorgung, Baugrubensicherung, Spundwand, auskragend",-,m2,287000,285000,1690,776,771,771,0,4,44,44,44,0,0,732,727,727,0,4,169,168,1,0,"Blindage de fouille, paroi de palplanche, en porte-à-faux","Élimination, blindage de fouille, paroi de palplanche, en porte-à-faux"
